food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
"Rice (long grain, high quality, local) ",7.19,3.85,75.5,not found,1.0,not found,10.0,365
Maize (imported) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Fish (herring) ,16.3,0.45,0.0,not found,213,54.0,11.0,308
Pigeon peas ,8.0,not found,16.0,not found,28.0,1.0,60.0,110
Potato Leaves ,2.49,0.51,8.82,not found,6.0,0.0,78.0,42.0
"Milk (cow, fresh) ",7.81,11.0,6.86,not found,105,48.0,224,157
Milk (fresh) ,7.81,11.0,6.86,not found,105,48.0,224,157
"Oil (vegetable, fortified, food aid) ",18.0,30.6,5.27,2.63,1660.0,98.0,866,366
Okra (dry) ,3.76,12.7,22.1,not found,316,10.0,52.0,217
"Peas (yellow, split, food aid) ",4.25,3.38,5.3,1.42,1100.0,not found,63.0,61.0
Sorghum flour ,11.4,1.52,74.4,not found,0.0,not found,18.7,not found
"Fish (dry, katta) ",16.3,0.45,0.0,not found,213,54.0,11.0,308
"Fish (dry, sprats) ",16.3,0.45,0.0,not found,213,54.0,11.0,308
Fish (jack) ,16.3,0.45,0.0,not found,213,54.0,11.0,308
Fish (sail fish) ,16.3,0.45,0.0,not found,213,54.0,11.0,308
Fish (skipjack tuna) ,19.0,0.94,0.08,0.0,219,36.0,18.0,376
Fish (trenched sardinella) ,16.3,0.45,0.0,not found,213,54.0,11.0,308
Fish (yellowfin tuna) ,19.0,0.94,0.08,0.0,219,36.0,18.0,376
"Onions (red, imported) ",0.94,0.1,9.93,5.76,1.0,not found,17.0,186
"Onions (red, local) ",0.94,0.1,9.93,5.76,1.0,not found,17.0,186
Potatoes (imported) ,22.2,4.36,0.1,not found,40.0,55.0,4.0,537
Potatoes (local) ,3.89,11.2,13.4,not found,221,68.0,34.0,170
Rice (red nadu) ,0.94,0.1,9.93,5.76,1.0,not found,17.0,186
Rice (red) ,0.94,0.1,9.93,5.76,1.0,not found,17.0,186
Bananas (medium size) ,0.73,0.22,20.1,15.8,not found,not found,not found,357
Cauliflower ,0.0,0.0,3.53,not found,18.0,0.0,0.0,18.0
Cheese (goat) ,23.3,34.0,2.44,0.33,654,100,707,1710.0
"Onions (dry, local) ",9.0,3.0,67.6,not found,4190.0,2.0,280,1350.0
Potatoes (medium size) ,3.0,16.1,42.6,not found,333,0.0,22.0,316
Beans (sugar) ,0.0,0.32,99.6,99.8,1.0,not found,1.0,385
"Meat (beef, minced) ",11.7,28.0,2.89,1.26,872,not found,15.0,1310.0
"Meat (chicken, legs) ",23.9,5.95,0.0,not found,117,127,12.0,156
"Meat (chicken, plucked) ",23.9,5.95,0.0,not found,117,127,12.0,156
Yogurt ,10.3,0.37,3.64,3.27,36.0,5.0,111,61.0
Beans (haricot) ,1.2,0.0,7.23,not found,0.0,0.0,36.0,30.0
Oil (cotton) ,not found,not found,not found,not found,not found,not found,not found,not found
Tea (green) ,1.06,0.44,14.0,8.99,5.0,not found,35.0,241
Bread (common) ,9.43,3.59,49.2,5.34,477,not found,211,1130.0
Cocoa (powder) ,19.6,13.7,57.9,not found,21.0,0.0,128,228
Meat (veal) ,3.84,3.19,32.5,0.62,361,not found,11.0,729
"Milk (powder, infant formula) ",7.81,11.0,6.86,not found,105,48.0,224,157
Zucchini ,1.05,0.0,4.21,not found,0.0,0.0,21.0,21.0
Beans (kidney red) ,22.5,1.06,61.3,not found,12.0,0.0,83.0,1410.0
"Peas (yellow, split) ",4.25,3.38,5.3,1.42,1100.0,not found,63.0,61.0
"Maize meal (white, breakfast) ",6.2,1.74,80.8,1.04,0.0,not found,0.0,1520.0
"Maize meal (white, roller) ",6.2,1.74,80.8,1.04,0.0,not found,0.0,1520.0
