food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
"Plantains (dominico, mature) ",2.91,0.604,2.64,not found,107,not found,66.6,not found
"Plantains (dominico, green) ",1.09,0.08,29.2,2.25,2.0,not found,3.0,121
Tree tomatoes ,0.29,0.07,10.8,not found,241,0.0,8.0,166
Grapes (black) ,0.72,0.16,18.1,15.5,2.0,0.0,10.0,69.0
Grapes (pink) ,8.42,6.96,25.9,0.34,218,0.0,49.0,196
Beans (dry) ,24.4,1.45,not found,not found,not found,not found,191,not found
Wheat (imported) ,10.7,4.53,47.5,5.73,473,0.0,125,274
Ghee (natural) ,0.28,99.5,0.0,0.0,2.0,256,4.0,876
Cheese (picon) ,16.1,23.1,8.85,6.24,1280.0,78.0,1380.0,307
Oil (maize) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Beans (fava, dry) ",7.06,6.88,18.3,1.69,220,0.0,34.0,160
Oil (mixed) ,2.05,3.54,8.58,2.72,243,0.0,21.0,70.0
"Meat (beef, without bones) ",2.39,0.33,8.19,2.59,400,0.0,28.0,42.0
Beans (silk red) ,2.47,1.44,7.82,5.76,41.0,0.0,123,222
Beans (fava) ,7.06,6.88,18.3,1.69,220,0.0,34.0,160
Wage (casual labour) ,3.33,0.0,13.3,5.56,22.0,0.0,22.0,67.0
Teff ,12.8,3.19,74.5,2.13,0.0,0.0,128,383
Exchange rate (unofficial) ,3.33,0.0,86.7,53.3,0.0,not found,not found,367
Wheat (white) ,10.7,2.15,43.9,5.0,478,0.0,684,994
Teff (white) ,3.87,0.65,19.9,not found,8.0,0.0,49.0,101
Barley (white) ,12.5,2.3,73.5,0.8,12.0,0.0,33.0,354
Teff (red) ,3.87,0.65,19.9,not found,8.0,0.0,49.0,101
Lin seed ,5.3,2.3,32.0,not found,23.0,0.0,61.0,168
Sorghum (mixed) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Niger seed ,5.3,2.3,32.0,not found,23.0,0.0,61.0,168
Rape seed ,5.3,2.3,32.0,not found,23.0,0.0,61.0,168
Teff (Sergegna) ,3.87,0.65,19.9,not found,8.0,0.0,49.0,101
Peas (mixed) ,14.1,14.1,62.2,14.1,300,0.0,123,432
