,Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unit
4738,CPIM.SAP0127,2020.01,3.63,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Milk - standard homogenised,2 litres,0,2 litres
4921,CPIM.SAP0128,2020.01,5.18,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Yoghurt - flavoured,150g pottle (supermarket only),pk of 6,0
5104,CPIM.SAP0129,2020.01,9.7,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cheese - mild cheddar (supermarket only),1kg,0,1kg
5287,CPIM.SAP0130,2020.01,4.48,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Eggs,dozen,0,0
5470,CPIM.SAP0131,2020.01,5.46,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Butter - salted,500g,0,500g
5653,CPIM.SAP0132,2020.01,2.54,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Sugar - white,1.5kg,0,5kg
5836,CPIM.SAP0134,2020.01,4.54,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chocolate - block (supermarket only),250g,0,250g
6019,CPIM.SAP0136,2020.01,1.41,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Spaghetti - canned,420g,0,420g
6202,CPIM.SAP0137,2020.01,5.9,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Coffee - instant,100g,0,100g
6385,CPIM.SAP0138,2020.01,5.06,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Tea bags (supermarket only),box of 100,0,0
6568,CPIM.SAP0139,2020.01,2.73,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Soft drink,1.5 litres,0,5 litres
6751,CPIM.SAP0140,2020.01,1.97,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Bottled water,750ml,0,750ml
6934,CPIM.SAP0142,2020.01,7.17,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fish and chips,One fish/chips,0,0
7117,CPIM.SAP0143,2020.01,4.42,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Meat pie - hot,each,0,each
7240,CPIM.SAP0144,2020.01,4.49,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fruit juice - apple based (supermarket only),3 litre,0,3 litre
7363,CPIM.SAP0145,2020.01,1.86,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Potato crisps,150g,0,150g
7486,CPIM.SAP0146,2020.01,2.99,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Tomato sauce - canned,560g,0,560g
7573,CPIM.SAP0147,2020.01,13.08,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Bacon - middle rashers (supermarket only),700g,0,700g
7660,CPIM.SAP0148,2020.01,13.26,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Chicken breast,1kg,0,1kg
7843,CPIM.SAP0149,2020.01,1.3,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Bread - white sliced loaf,600g,0,600g
7965,CPIM.SAP0151,2020.01,2.32,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Apricots,dried,100g,100g
8140,CPIM.SAP0152,2020.01,7.9,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Avocado,1kg,0,1kg
8315,CPIM.SAP0153,2020.01,1.1,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Baby food,110g,0,110g
8490,CPIM.SAP0154,2020.01,12.64,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Beans,1kg,0,1kg
8665,CPIM.SAP0155,2020.01,7.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Bread rolls,filled,hot,each
